,job_title,adv_job_title,description_languages,description_tools,description_databases,description_softskills,description_experience,description_qualification
0,senior data scientist,data scientist,"['sql', 'r']","['tableau', 'tableau', 'panda', 'business intelligence']",['hive'],"['customer', 'discipline', 'mining', 'computer science', 'problem solving', 'data mining']",['two year'],[]
1,data scientist product analytics,data science analyst,"['sql', 'python']","['panda', 'numpy']",[],"['organization', 'communication', 'analytics']",['4+ year'],[]
2,data science manager,data scientist,"['python', 'r']",[],[],"['curiosity', 'analytics', 'mathematics', 'management', 'mentorship', 'customer', 'leadership']","['3+ year', '1+ year']",[]
3,data analyst,data analyst,"['sql', 'python', 'r']","['bi', 'excel', 'business intelligence']",[],"['management', 'accuracy', 'accuracy', 'presentation', 'professionalism', 'communication', 'written communication']","['four year', '4+ year', '5+ year']","['bachelor', 'bachelor degree']"
4,director data science,data scientist,"['python', 'r']",[],[],"['analytics', 'responsibility', 'leadership', 'management', 'analytics', 'organization', 'communication', 'economics', 'communication', 'organization', 'communication', 'confidence', 'analytics', 'project management']",[],[]
5,data scientist,data scientist,"['r', 'python', 'sql']",[],[],"['responsibility', 'presentation', 'mathematics', 'discipline', 'analytics', 'customer', 'analytics', 'data modeling', 'data modeling', 'data modeling', 'data cleaning']",['3+ year'],['bachelor']
6,quantitative researcher,others,"['python', 'r', 'c++']",['excel'],[],"['discipline', 'collaboration', 'responsibility', 'discipline', 'communication', 'computer science', 'electrical engineering', 'problem solving']",['five year'],"['phd', 'phd', 'phd', 'phd']"
7,quantitative research associate,others,[],[],[],"['economics', 'curiosity', 'communication', 'creativity']",[],['phd']
8,ai scientist,data scientist,['python'],[],[],"['mining', 'accuracy', 'responsibility', 'computer science']",[],"['phd', 'phd']"
9,quantitative researcher,others,"['ocaml', 'functional programming']",[],[],['logical'],[],[]
10,data scientist,data scientist,"['ml', 'sql', 'python', 'r']","['numpy', 'panda', 'jupyter']",[],"['mining', 'confidence', 'discipline', 'computer science', 'data mining', 'computer science']",['3 year'],[]
11,data scientistmachine learning,others,"['python', 'ml']","['spark', 'numpy', 'panda']","['hive', 'impala']","['organization', 'mathematics', 'computer science']",['3+ year'],['phd']
12,data scientist acorn ai lab,data scientist,"['r', 'python', 'sql']",[],[],"['customer', 'customer', 'analytics', 'communication', 'analytics', 'analytics', 'mathematics', 'communication', 'innovation', 'analytics', 'data cleaning', 'written communication', 'computer science']",['4+ year'],"['phd', 'bachelor']"
13,data scientist,data scientist,"['sql', 'python', 'r', 'scala']",['spark'],[],"['management', 'mining', 'innovation', 'mining', 'discipline', 'management', 'data mining', 'data mining']","['3+ year', '3+ year']",['phd']
14,data scientist alpha insight,data scientist,['r'],['panda'],[],"['management', 'responsibility', 'economics', 'innovation', 'creativity', 'communication', 'management', 'decision making', 'computer science']",['5 year'],['phd']
15,data scientist,data scientist,"['ml', 'ml', 'python', 'r', 'postgresql', 'mysql', 'sql']",[],"['postgresql', 'mysql']","['responsibility', 'management', 'mathematics', 'economics', 'analytics', 'kpi', 'communication', 'presentation', 'computer science']",[],[]
16,data scientist analytics,data science analyst,"['sql', 'r', 'python', 'scala', 'php']","['looker', 'tableau']",[],"['commitment', 'management', 'analytics', 'experimentation', 'decision making', 'decision making']",['3 year'],[]
17,data scientistml engineer,data engineer,"['ml', 'python', 'java', 'c++', 'c', 'sql', 'javascript', 'r', 'ml', 'python', 'java', 'c++', 'c', 'sql', 'javascript', 'r', 'ml']","['spark', 'tableau', 'spark', 'tableau']","['mongodb', 'pig', 'hive', 'mongodb', 'pig', 'hive']","['organization', 'analytics', 'innovation', 'analytics', 'economics', 'mathematics', 'innovation', 'innovation', 'organization', 'analytics', 'innovation', 'analytics', 'economics', 'mathematics', 'innovation', 'innovation', 'computer science', 'computer science']","['5 year', '5 year']",[]
18,data scientist,data scientist,"['sql', 'r', 'python', 'scala', 'php']","['looker', 'tableau']",[],"['commitment', 'management', 'analytics', 'experimentation', 'decision making', 'decision making']",['3 year'],[]
19,vp data science,data scientist,"['r', 'python']","['apache', 'spark', 'apache spark']",[],"['responsibility', 'management', 'mathematics', 'economics', 'discipline', 'analytics', 'leadership', 'mining', 'decision making', 'computer science', 'data cleaning']",[],['phd']
20,data scientist disney personalization,data scientist,"['sql', 'python', 'scala', 'c++', 'python', 'r', 'ml']","['tableau', 'looker', 'chartio', 'apache', 'spark']","['aws', 'aws']","['organization', 'experimentation', 'experimentation', 'analytics', 'communication', 'presentation', 'mining', 'management', 'data modeling', 'data mining']","['5+ year', '3+ year', '3+ year']",[]
21,senior data scientist data science operation,data scientist,"['python', 'python', 'python']","['excel', 'business intelligence', 'business intelligence']","['aws', 'azure']","['responsibility', 'presentation', 'collaboration', 'customer']",[],"['bachelor', 'bachelor degree']"
22,quantitative researcher – intern u,others,['r'],[],['mongodb'],"['innovation', 'mathematics', 'communication', 'computer science', 'verbal communication']",[],"['bachelor', 'phd']"
23,senior data engineer healthcare domain experience required,data engineer,"['sql', 'sql', 'c', 'java', 'c', 'python', 'node']","['bi', 'spark', 'bi', 'tableau', 'business intelligence', 'power bi']",['azure'],"['responsibility', 'analytics', 'reliability']",[],[]
24,data scientist,data scientist,"['sql', 'python']",[],[],"['customer', 'analytics', 'accuracy', 'collaboration', 'decision making']",[],[]
25,data scientist marketplace economics,data scientist,"['sql', 'python', 'stata', 'r']",['tableau'],[],"['economics', 'economics', 'economics', 'organization', 'economics', 'responsibility', 'management', 'mathematics', 'economics', 'creativity']",[],['phd']
26,data scientist,data scientist,"['sql', 'python', 'r', 'julia']",['spark'],[],"['honesty', 'customer']",[],['phd']
27,lead data scientist,data scientist,[],[],[],"['innovation', 'collaboration', 'innovation', 'organization', 'management', 'management', 'leadership', 'analytics', 'mathematics', 'analytics', 'economics', 'problem solving', 'computer science']",[],"['bachelor', 'phd', 'bachelor degree']"
28,data scientist personalization,data scientist,"['r', 'python', 'sql']",['looker'],[],"['planning', 'customer', 'innovation', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'prioritizing', 'customer', 'responsibility', 'customer', 'customer', 'management']",['2+ year'],[]
29,principal data scientist,data scientist,[],[],[],"['innovation', 'collaboration', 'innovation', 'analytics', 'analytics', 'communication', 'presentation', 'analytics', 'analytics', 'management', 'leadership', 'problem solving']",[],[]
30,data scientist,data scientist,"['python', 'r', 'scala']","['spark', 'numpy', 'panda', 'business intelligence']","['aws', 'hive', 'aws', 'azure']","['analytics', 'organization', 'customer', 'analytics', 'customer service']",[],[]
31,data scientist decision,data scientist,"['sql', 'python', 'r']",[],[],"['organization', 'organization', 'responsibility', 'economics', 'analytics', 'communication', 'decision making', 'analytical thinking', 'decision making', 'written communication']",['3+ year'],[]
32,data scientist,data scientist,['java'],[],[],"['customer', 'mathematics', 'mining', 'accuracy', 'customer', 'management', 'computer science', 'problem solving']","['2+ year', '2+ year', '2+ year']","['bachelor', 'master degree']"
33,data scientist,data scientist,"['python', 'python', 'sql']","['numpy', 'panda', 'tableau', 'looker']",[],"['customer', 'innovation', 'customer', 'communication', 'organization', 'management', 'economics', 'mathematics', 'mathematics', 'verbal communication', 'computer science']",['5+ year'],['bachelor']
